Name,latitude,longitude
Honbetsu,43.1334,143.5623
Date,42.4935,140.8662
Kitami,43.7709,143.8201
Chitose,42.9238,141.7725
Rikubetsu,43.471183748413864, 143.7571910403451
Asyoro,43.471183748413864, 143.7571910403451
Kamishihoro,43.23743844191396, 143.30889576404678
Ikeda,42.99021563060449, 143.44357855553025
Sarabetsu,42.65689348938406, 143.19958361119527
Memuro, 42.65689348938406, 143.19958361119527
Oketo, 43.697421956245506, 143.6202093410242
Bihoro, 43.812070060115445, 144.13593187478887
Mori, 42.07643138184921, 140.58674279854338